AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,Count,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRASIER, SCOTTIE McKENZIE",,SCOTTIE McKENZIE FRASIER,,1884-1964,,,,,,,";</strong></p>
<p>Soldier; businessman; motivational speaker.  Born December 1, 1924, Fort Deposit, Lowndes County.  Parents:  John Herman and Glennie Gafford Frazier.  Married; children: two. Education: attended Meadows-Draughn Business College and Elmer Wheeler Sales Institute.  Volunteered for the U.S. Army, 1941; captured after the Battle of Bataan in 1942and spent three and a half years in Japanese prison camps.  Discharged in 1945.  Owned a trucking business in Shreveport, La.; National Sales Manager for Howard Van Lines and later worked for Greyhound Car Rental and several other firms around the country. Featured in the PBS series ""The War,"" directed by Ken Burns.  Lecturer and motivational speaker.  Awarded the Medal of Freedom, the Bronze Star, and four Purple Hearts.</p>
<p>",":</strong></p>
<p>Owen's The Story of Alabama, Vol. III.</p>
<p>","(s):</strong></p>
<p>Fagots of Fancy. Wheeling, W. Va.; Progressive Publishers, 1920.</p>
<p>Things That are Mine. Chicago; S. Hinrichsen, 1922.</p><p>As We See It. Headland, Ala.; Wiregrass Farmer, 1935.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRAZER, JOHN WILLIAM",,JOHN WILLIAM FRAZER,,1885-1969,,,,,,,";</strong></p>
<p>Soldier; businessman; motivational speaker.  Born December 1, 1924, Fort Deposit, Lowndes County.  Parents:  John Herman and Glennie Gafford Frazier.  Married; children: two. Education: attended Meadows-Draughn Business College and Elmer Wheeler Sales Institute.  Volunteered for the U.S. Army, 1941; captured after the Battle of Bataan in 1942and spent three and a half years in Japanese prison camps.  Discharged in 1945.  Owned a trucking business in Shreveport, La.; National Sales Manager for Howard Van Lines and later worked for Greyhound Car Rental and several other firms around the country. Featured in the PBS series ""The War,"" directed by Ken Burns.  Lecturer and motivational speaker.  Awarded the Medal of Freedom, the Bronze Star, and four Purple Hearts.</p>
<p>",":</strong></p>
<p>Who's Who Among North American Authors; Marquis who's who online</p>
<p>","(s):</strong></p>
<p>The Untried Civilization. Nashville; Abingdon Press, 1921.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRAZER, MELL ALEXANDER",,MELL ALEXANDER FRAZER,,1887-1956,,,,,,,";</strong></p>
<p>Soldier; businessman; motivational speaker.  Born December 1, 1924, Fort Deposit, Lowndes County.  Parents:  John Herman and Glennie Gafford Frazier.  Married; children: two. Education: attended Meadows-Draughn Business College and Elmer Wheeler Sales Institute.  Volunteered for the U.S. Army, 1941; captured after the Battle of Bataan in 1942and spent three and a half years in Japanese prison camps.  Discharged in 1945.  Owned a trucking business in Shreveport, La.; National Sales Manager for Howard Van Lines and later worked for Greyhound Car Rental and several other firms around the country. Featured in the PBS series ""The War,"" directed by Ken Burns.  Lecturer and motivational speaker.  Awarded the Medal of Freedom, the Bronze Star, and four Purple Hearts.</p>
<p>",":</strong></p>
<p>Owen's The Story of Alabama.</p>
<p>","(s):</strong></p>
<p>Early History of Steamboats in Alabama. Auburn, Ala.; s.n., 1907.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRAZER, NIMROD THOMPSON",,NIMROD THOMPSON FRAZER,,1929-present,,,,,,,";</strong></p>
<p>Soldier; businessman; motivational speaker.  Born December 1, 1924, Fort Deposit, Lowndes County.  Parents:  John Herman and Glennie Gafford Frazier.  Married; children: two. Education: attended Meadows-Draughn Business College and Elmer Wheeler Sales Institute.  Volunteered for the U.S. Army, 1941; captured after the Battle of Bataan in 1942and spent three and a half years in Japanese prison camps.  Discharged in 1945.  Owned a trucking business in Shreveport, La.; National Sales Manager for Howard Van Lines and later worked for Greyhound Car Rental and several other firms around the country. Featured in the PBS series ""The War,"" directed by Ken Burns.  Lecturer and motivational speaker.  Awarded the Medal of Freedom, the Bronze Star, and four Purple Hearts.</p>
<p>","s:</strong></p>
<p>Marquis Who's Who online; Alabama Department of Archives and History website.</p>
<p>",#Null,"(s):</strong></p>
<p>Send the Alabamians:  World War I Fighters in the Rainbow Division.  Tuscaloosa:  University of Alabama Press, 2014.</p>


				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRAZER, WILLIAM HENRY",,WILLIAM HENRY FRAZER,,1873-1953,,,,,,,";</strong></p>
<p>Soldier; businessman; motivational speaker.  Born December 1, 1924, Fort Deposit, Lowndes County.  Parents:  John Herman and Glennie Gafford Frazier.  Married; children: two. Education: attended Meadows-Draughn Business College and Elmer Wheeler Sales Institute.  Volunteered for the U.S. Army, 1941; captured after the Battle of Bataan in 1942and spent three and a half years in Japanese prison camps.  Discharged in 1945.  Owned a trucking business in Shreveport, La.; National Sales Manager for Howard Van Lines and later worked for Greyhound Car Rental and several other firms around the country. Featured in the PBS series ""The War,"" directed by Ken Burns.  Lecturer and motivational speaker.  Awarded the Medal of Freedom, the Bronze Star, and four Purple Hearts.</p>
<p>",":</strong></p>
<p>Marquis who's who online; NCpedia online.</p>
<p>","(s):</strong></p>
<p>The Possumist and Other Stories. Charlotte, N.C.; The Murrill Press, 1924.</p><p>Bible Notes for Bible Students. Charlotte, N.C.; Presbyterian Standard Publishing Co., 1924.</p><p>Fireside Musings of ""Uncle"" Rastus and ""Aunt"" Randy. Charlotte, N.C.; The Murrill Press, 1925.</p>
<p>Challenging Mantles; a Series of Chapel Talks. Charlotte, N.C.; Queen City Printing Co., 1926.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRAZIER, GLENN DOWLING",,GLENN DOWLING FRAZIER,,1924-2018,,,,,,,";</strong></p>
<p>Soldier; businessman; motivational speaker.  Born December 1, 1924, Fort Deposit, Lowndes County.  Parents:  John Herman and Glennie Gafford Frazier.  Married; children: two. Education: attended Meadows-Draughn Business College and Elmer Wheeler Sales Institute.  Volunteered for the U.S. Army, 1941; captured after the Battle of Bataan in 1942and spent three and a half years in Japanese prison camps.  Discharged in 1945.  Owned a trucking business in Shreveport, La.; National Sales Manager for Howard Van Lines and later worked for Greyhound Car Rental and several other firms around the country. Featured in the PBS series ""The War,"" directed by Ken Burns.  Lecturer and motivational speaker.  Awarded the Medal of Freedom, the Bronze Star, and four Purple Hearts.</p>
<p>","s;</strong></p>
<p>Hell's Guest; pbs website; ancestry.com</p>
<p>",#Null,"(s);</strong></p>
<p>Hell's Guest.  Williams and Company, 2007.</p>



				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREEMAN, RICHARD BORDEN",,RICHARD BORDEN FREEMAN,,1908-1986,,,,,,,#Null,":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>Picasso-Grio-Miro. San Francisco; San Francisco Museum of Art, 1948.</p>
<p>Ralston Crawford. University, Ala.; University of Alabama Press, 1953.</p><p>The Lithographs of Ralston Crawford. Lexington, Ky.; University of Kentucky Press, 1962.</p>
<p>Niles Spencer. Lexington, Ky.; Art Department, University of Kentucky, 1965.</p>
<p>The Prints of Ralston Crawford.  Print Review, 1985.</p>


				</div>",,"<p><strong>Editor;</strong></p>
<p>Graphics '73: Ralston Crawford.  University of Kentucky, 1973.</p>
<p>Graphics '74:  Spain.  University of Kentucky, 1974.</p>
<p>Graphics '75: Watergate:The Unmaking of a President.  University of Kentucky, 1975.</p>
<p>Graphics '76: Britain.  University of Kentucky, 1976.</p>
<p><strong>Joint_Editor:</strong></p>
<p>Best Political Cartoons of 1978.  Puck Press, 1979.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRENCH, ROBERT WARREN",,ROBERT WARREN FRENCH,,1911-1999,,,,,,,#Null,":</strong></p>
<p>Marquis Who's Who in America  online.</p>
<p>","(s):</strong></p>
<p>Living Together, Buchanan and Clark 1904-1975. S.l.; s.n., 1976?</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Basics for Business. Chicago; Whitehall Co., 1968.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRITH, GREG H.",,GREG H. FRITH,,1949-present,,,,,,,#Null,":</strong></p>
<p>No source cited.</p>
<p>","(s):</strong></p>
<p>The Role of the Special Education Paraprofessional; an Introductory Text. Springfield, Ill.; Charles C. Thomas, 1982.</p><p>Behavior Management in the Schools; a Primer for Parents. Springfield, Ill.; Charles C. Thomas, 1985.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Self-Monitoring for Classroom Use. Springfield, Ill.; Charles C. Thomas, 1984.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRY, ANNA MARIA GAYLE",,ANNA MARIA GAYLE FRY,,1852-1930,,,,,,,#Null,":</strong></p>
<p>Owen's The Story of Alabama, Vol. III,  findagrave.com</p>
<p>","(s): </strong></p>
<p>Memories of Old Cahaba. Nashville; Publishing House of the Methodist Episcopal Church, South, 1908.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>A collection of the papers of Anna Maria Gayle Fry is held by the Alabama Department of Archives and History in Montgomery.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRYE, RICHARD NELSON",,RICHARD NELSON FRYE,,1920-2014,,,,,,,#Null,":</strong></p>
<p>Contemporary Authors online; obituary</p>
<p>","(s):</strong></p>
<p>The Near East and the Great Powers. Cambridge, Mass.; Harvard University Press, 1951.</p><p>Iran. New York; Holt, 1954.</p><p>The Heritage of Persia. Cleveland; World Publishing, 1963.</p><p>Medieval Bukhara.  University of Oklahoma Press, 1967.</p><p>The Sasanian Remains of Qas-iAbu Nasr. Harvard University Press, 1973.</p><p>The Golden Age of Persia.  Weidenfeld & Nicolson, 1975.</p><p>Opera Minora. Shiraz, Iran; Asia Institute of Pahlavi University, 1976.</p><p>Islamic Iran and Central Asia (7th-12th centuries). London; Variorum Reprints, 1979.</p><p>History of Ancient Iran. Munich, W. Germany; C.H. Beck'sche Verlagsbuchhandllung, 1983.</p>
<p>The Heritage of Central Asia from Antiquity to the Turkish Expansion.  Markus Wiener Publishers, 1996.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Notes on the Pre-Islamic Coinage of Transoxiana. New York; American Numismatic Society, 1949.</p>
<p>The United States and Turkey and Iran. Cambridge, Mass.; Harvard University Press, 1951.</p><p>History of the Nation of the Archers. Cambridge, Mass.; Harvard University Press, 1952.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>History of Bukhara. Cambridge, Mass.; Medieval Society of America, 1954.</p>
<p>Islam & the West. Cambridge, Mass.; Harvard University Press, 1957.</p>
<p>The Near East and the Great Powers. Cambridge, Mass.; Harvard University Press, 1957.</p>
<p>Neue Methodologie in der Ianistik. Harrassowitz, 1974.</p>
<p>The Parthian and Middle Persian Inscriptions of Dura-Europos. London; Percy Lund, Humphries, 1968.</p>
<p>The Period From the Arab Invasion to the Saljugs. Cambridge, Mass.; University Press, 1975.</p>
<p>Sasanian Seals in the Collection of Mohsen Foroughi. London; Jund Humphries, 1971.</p>
<p><strong>Papers;</strong></p>
<p>A collection of the papers of Richard Nelson Frye is held by the special collections department at Harvard University libraries.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRYE, ROLAND MUSHAT",,ROLAND MUSHAT FRYE,,1921-2005,,,,,,,#Null,":</strong></p>
<p>Contemporary Authors online; obituary in University of Pennsylvania website.</p>
<p>","(s):</strong></p>
<p>Is God a Creationist? The Religious Case against Creation-Science. New York; Scribner, 1960.</p><p>Perspectives on Man; Literature and the Christian Tradition. Philadelphia; Westminster, 1961.</p><p>Shakespeare and Christian Doctrine. Princeton, N.J.; Princeton University Press, 1963.</p><p>God, Man, and Satan; Patterns of Christian Thought and Life in ""Paradise Lost,"" ""Pilgrim's Progress,"" and the Great Theologians. Princeton, N.J.; Princeton University Press, 1968.</p> <p>Shakespeare's Life and Times; a Pictorial Record. Princeton, N.J.; Princeton University Press, 1967.</p><p>Milton's Imagery and the Visual Arts; Iconographic Tradition in the Epic Poems. Princeton, N.J.; Princeton University Press, 1968.</p><p>Shakespeare; the Art of the Dramatist. Boston; Houghton, 1970.</p><p>The Renaissance Hamlet; Issues and Responses in 1600. Princeton, N.J.; Princeton University Press, 1984.</p>
<p>Language for God and Feminist Language.  Princeton:  Center of Theological Inquiry, 1988.</p>


				</div>",,"<p><strong>Editor:</strong></p>
<p>The Bible; Selections from the King James Version for Study as Literature. Boston; Houghton, 1965.</p>
<p>Is God a Creationist? : The Religious Case against Creation Science.  New York:  Scribners, 1983.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRYE, WILLIAM FENNER, JR.",,"WILLIAM FENNER FRYE, JR.",,1908-1961,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Newsweek, March 21, 1949; obituary, New York Times, March 31, 1961.</p>
<p>","(s):</strong></p>
<p>Marshall, Citizen Soldier. New York; Bobbs-Merrill, 1947.</p>
<p>A United Nations Peace Force.  Oceana Publications, 1957.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FULLER, HELEN",,HELEN FULLER,,1913-1972,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Marquis Who's Who online</p>
<p>","(s):</strong></p>
<p>Southerners and Schools.  New Republic, 1959.</p>
<p>Year of Trial; Kennedy's Crucial Decisions. New York; Harcourt, 1962.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FULMER, ROBERT MARION",,ROBERT MARION FULMER,,1939-present,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Who's Who online</p>
<p>","(s):</strong></p>
<p>Managing Associations of the 1980's. Washington, D.C.; Foundation of the American Society of Association Executives, 1972.</p><p>The New Management.  Macmillan, 1974.</p><p>The Management of Associations. Washington, D.C.; American Society of Association Executives, 1975.</p><p>Supervision; Essentials of Professional Practice. Beverly Hills, Calif.; Glencoe Press, 1975.</p>
<p>Supervision; Principles of Professional Management. Encino, Calif.; Glencoe Press, 1976.</p><p>The New Marketing. New York; Macmillan, 1976.</p><p>Management and Organization:  An Introduction to Theory and Practice.  Barnes and Noble, 1979.</p>
<p>Planning for Presidential Succession.  American Management Association, 1979.</p>
<p>Practical Human Relations. Homewood, Ill.; R. D. Irwin, 1983.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Exploring the New Management. New York; Macmillan, 1974.</p><p>A Practical Introduction to Business. Homewood, Ill.; Irwin, 1975.</p>
<p>Exploring the New Marketing.  Macmillan, 1976.</p><p>Crafting Competiveness:  Developing Leaders in the Shadow Pyramid.  Capstone, 1996.</p>
<p>Leadership by Design.  Harvard Business School Press, 1998.</p>

				</div>","<p>The Leadership Investment:  How the World's Best Organizations Gain Strategic Advantage through Leadership Development.  AMACOM, 2001.</p><p>Growing Your Company's Leaders.  How Great Organizations Use Succession Management to Sustain Competitive Advantage.  AMACOM, 2004.</p>
<p>The Leadership Advantage:  How the Best Companies Are Developing their Talent to Pave the Way for Future Success.  AMACOM, 2008.</p> <p>Newcomers in Paradise: A Southern Couple Finds their Perfect Retirement Home in Santa Barbara. CreateSpace, 2010.</p>","<p><strong>Editor:</strong></p>
<p>Organizing for New Product Development. Washington, D.C.; National Industrial Conference Board, 1966.</p>
<p><strong>Joint_Editor;</strong></p>
<p>Executive Development and Organizational Learning for Global Business.  International Business Press, 1998.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FULTS, JOHN LEE",,JOHN LEE FULTS,,1932-unknown,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Contemporary Authors online</p>
<p>","(s):</strong></p>
<p>Magic Squares. LaSalle, Ill.; Open Court, 1974.</p><p>The Chaffins, Chapter XII from The Leaves of Time.  Huntsville, 1999.</p>
<p>Hoover's Gap: Section 9, Chapter VII. from The Leaves of Time.  Huntsville, 1999.</p>


				</div>","<p>Liberty Gap:  Section 12, Chapter VII from The Leaves of Time.  Huntsville, 2002.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUNDABURK, EMMA LILA",,EMMA LILA FUNDABURK,,1922-2006,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>Diversified Manufacturing in Kauai. Economic Research Center, University of Hawaii, 1946.</p><p>Unemployment Compensation; History and Meaning. Montgomery, Ala.; Alabama Department of Industrial Relations, 1947.</p><p>Southeastern Indians; Life Portraits. Metuchen, N.J.; Scarecrow, 1959.</p><p>Parade of Alabama. Luverne, Ala; Fundaburk, 1960.</p>
<p>The Economic Complex of Kauai. Economic Research Center, University of Hawaii, 1964.</p><p>The Garment Manufacturing Industry of Hawaii.  4 vols.  Economic Research Center, University of Hawaii, 1965.</p>
<p>Garment Manufacturing in the Outer Islands.  Economics Research Center, University of Hawaii, 1966.</p><p>Characteristics, Problems and Potentials of Apparel Manufacturing on the Neighbor Islands. University of Hawaii, 1966.</p><p>Reference Materials and Periodicals in Economics; International List. Metuchen, N.J.; Scarecrow, 1971.</p><p>Bibliography of the History of Economic Thought. Vol. I. 1973.</p><p>Development of Economic Thought and Analysis. Metuchen, N.J.; Scarecrow, 1973.</p><p>The History of Economic Thought and Analysis; a Selective International Bibliography. Metuchen, N.J.; Scarecrow, 1973.</p><p>Art in the Environment in the United States.  1976.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Art at Educational Institutions in the U.S.  Scarecrow, 1974.</p>
<p>Art in Public Places in the United States. Bowling Green, Ohio; Bowling Green University Press, 1975.</p>

				</div>",,"<p><strong>Joint_Editor:</strong></p>
<p>Sun Circles and Human Hands; the Southeastern Indians, Arts and Industries. Tuscaloosa, AL: University of Alabama Press,</p>
<p><strong>Editor_Compiler:.</strong></p>
<p>American Revolution Bicentennial, 1976: A Book of Readings. Luverne, Alabama. 1984.</p>
<p>Pocket Guide to the Location of Art in the United States. Luverne, 1977.</p>

",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUTATO, EUGENE MADISON",,EUGENE MADISON FUTATO,,1949-unknown,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Information from Eugene M. Futato, Moundville, Ala. </p>
<p>","(s):</strong></p>
<p>The Bellefonte Site, 1 Ja 300. Chattanooga, Tenn.; Tennessee Valley Authority, 1977.</p>
<p>Cultural Resources Reconnaissance in the Wheeler National Wildlife Refuge, Alabama. University, Ala.; Office of Archaeological Research, University of Alabama, 1979.</p><p>Archaeological Investigations in the Cedar Creek and Upper Bear Creek Reservoirs. University, Ala.; Office of Archaeological Research, University of Alabama, 1983.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Archaeological Investigations in the Little Bear Creek Reservoir. University, Ala.; Office of Archaeological Research, University of Alabama, 1975.</p><p>Archaeological Investigations at the B.B. Comer Bridge Site, 1Ja78, Jackson County, Alabama. University, Ala.; Office of   Archaeological Research, University of Alabama, 1983.</p>

				</div>",,"<p><strong>Joint_Editor:</strong></p>
<p>Archaeological Investigations at Site 22It581, Itawamba County, Mississippi; the Tennessee-Tombigbee Waterway, the Tombigbee River Multi-Resource District. University, Ala.; Office of Archaeological Research, University of Alabama, 1983. </p>
<p>Archaeological Testing Investigations at 58 Sites in the River and Canal Sections of the Tennessee-Tombigbee Waterway. University, Ala.; Office of Archaeological Research, University of Alabama, 1982. </p>
<p>Phase I Archaeological Reconnaissance Along the Tuscumbia River Watershed, Alcorn and Prentiss Counties, Mississippi. University, Ala.; Office of Archaeological Research, University of Alabama, 1983. </p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUTRELL, ROBERT FRANK",,ROBERT FRANK FUTRELL,,1917-1999,,,,,,,";</strong></p>
<p>Writer; author of film and television scripts and books.  Born: January 6, 1942, Jacksonville, Florida.  Parents: Charles Sr. and Margaret Shook Gaines.  Married-Patricia Ellisor, June 20, 1963.  Children:three.  Education:  Attended Washington and Lee University, 1960; B. A. Birmingham-Southern College, 1963; M. F. A., University of Iowa, 1967.  Director of federal Title III Operation Arts program in Green Bay, Wisconsin, 1967-69; Associate Professor of Creative Writing, New England College, Henniker, NH, 1970-76.  Published novels, nonfiction books, filmscripts, scripts for television series, and articles and short stories for periodicals.  Finalist for National Book Award, 1970; Emmy Award, 1976; nominated for annual screen award from the Writers Guild of America, 1976. Alabama Writers Hall of Fame, 2018.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1978; obituary.</p>
<p>","(s):</strong></p>
<p>Background and Growth of Military Civic Actions. Maxwell Air Force Base, Ala.; Aerospace Studies Institute, 1956.</p>
<p>Command of Observation Aviation. Maxwell Air Force Base, Ala.; USAF Historical Division, Research Studies Institute, 1956.</p>
<p>Development of Aeromedical Evacuation in the USAF, 1909-1960. Maxwell Air Force Base, Ala.; USAF Historical Division, Research Studies Institute, 1960.</p>
<p>Ideas, Concepts, Doctrine; a History of Basic Thinking in the United States Air Force, 1917-1964. Maxwell Air Force Base, Ala.; Aerospace Studies Institute, 1971.</p><p>Aces and Aerial Victories; the United States Air Force in Southeast Asia, 1965-1973. Montgomery, Ala.; Albert F. Simpson Historical Research Center, Air University, 1976.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The United States Air Force in Korea, 1950-1953. New York; Duell, Sloan and Pearce, 1961.</p>
<p>The United States Air Force in Southeast Asia. Washington, D.C.; Office of Air Force History, United States Air Force, 1980.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
