AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRADFORD, QUEBE MERRITT",,Quebe Merritt Bradford,,1983-present,Auburn and Montgomery,Lee and Montgomery,,,,,";</strong></p>
<p>Educator; writer.  Married: Eric Bradford.  Children: one.  Education:Alabama State University, B.A.; Grand Canyon University, Master's degree in curriculum and instruction; Auburn University, Ph.D. in education.  High school English teacher, Montgomery, Alabama; Student Achievement Coordinator for English/Language Arts, Montgomery Public schools.  Founded Power Hour Reading Challenge, a program to encourage families and groups to read and discuss books together. MPS Teacher of the Year, 2012.</p>
<p>","s;</strong></p>
<p>Quebe Bradford website;  AuthorHouse website.</p>
<p>",#Null,"s;</strong></p>
<p>In the Absence of My Father:  Grief. Grit. Gangs. Guts. Grace.  AuthorHouse, 2011.</p>


				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRADLEY, BERT EDWARD",,Bert Edward Bradley,,1926-2006,"Birmingham, Tuscaloosa, and Auburn","Jefferson, Tuscaloosa, and Lee","Birmingham, Jefferson; Tuscaloosa, Tuscaloosa",,Auburn,,":</strong></p>
<p>University professor of speech. Born:June 2, 1926, Birmingham. Parents:Adelbert and Odie (Self) Bradley. Married:Jeanne Moore, December 4, 1948. Children:Two. Education:Birmingham Southern College, A.B., 1950; University of Alabama, M.A., 1951; Florida State University, Ph.D., 1955.  U.S.Navy, WWII. Taught at the University of Richmond, 1955-67;  at the University of North Carolina, 1967-73; professor and head of the speech department at Auburn University, 1973-1989. Contributed articles to many professional journals in speech communications. Member International Communication Association, Speech Communication Association of America, American Forensic Association, Southern Speech Communication Association, Alabama Speech Communication and Theatre Association. Awarded emeritus status on his retirement at Auburn in 1989. A scholarship was established in the Auburn University College of Liberal Arts in honor of Bert and Jeanne Bradley, and the Bert E. Bradley Award was created in 1990 to recognize students in speech communication who excel in scholarship, service, and teaching.  Died June 5, 2006.</p>
<p>",":</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>Speech Performance. Dubuque, Iowa; W. C. Brown, 1967.</p><p>Fundamentals of Speech Communication. Dubuque, Iowa; W. C. Brown, 1974.</p>


				</div>",,"<p><strong>Contributor;</strong></p>
<p>James H. McBath, editor, Argumentation and Debate, Holt, 1963.</p>
<p>Russell R. Windes and Arthur Kruger, editors, Championship Debating, vol. II, Walch, 1967.</p>
<p>Waldo W. Braden, editor, Oratory in the Old South, LSU Press, 1970.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRADLEY, JAMES T.",,James T. Bradley,,1948-present,Talladega,Talladega,,,,,":</strong></p>
<p>Free lance writer; consultant. Born:May 12, 1944, Talladega. (Moved to Canada at the age of fifteen.) Parents: Robert Lee and Scottibelle Louise Robertson Bradley. Married: Freda Winnifred Doody, June 11, 1966.  Children:one.  Education:Dalhousie University, 1964-67. Worked in journalism, writing, marketing, advertising, research, and social action. Author of more than 100 radio and television scripts. Exponent of a theory that Neanderthal DNA survives in modern humans and influences human history. Invented the Environmental Reaction Analog Perception Testing apparatus.</p>
<p>",";</strong></p>
<p>University of Alabama Press.</p>
<p>",#Null,"s;</strong></p>
<p>Brutes or Angels:  Human Possibility in the Age of Biotechnology.  University of Alabama Press, 2013.</p>


				</div>","<p><strong>Joint_Editor:</strong></p>
<p>Charles Darwin: A Celebration of his Life and Legacy.  NewSouth Books, 2013.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRADLEY, MICHAEL ANDERSON",,Michael Anderson Bradley,,1944-2017,Albertville,Marshall,,,,,":</strong></p>
<p>Free lance writer; consultant. Born:May 12, 1944, Talladega. (Moved to Canada at the age of fifteen.) Parents: Robert Lee and Scottibelle Louise Robertson Bradley. Married: Freda Winnifred Doody, June 11, 1966.  Children:one.  Education:Dalhousie University, 1964-67. Worked in journalism, writing, marketing, advertising, research, and social action. Author of more than 100 radio and television scripts. Exponent of a theory that Neanderthal DNA survives in modern humans and influences human history. Invented the Environmental Reaction Analog Perception Testing apparatus.</p>
<p>",":</strong> Book jacket for The Iceman Inheritance; Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>The Cronos Complex I. Toronto; Nelson, Foster & Scott, 1973.</p><p>Communion in Solitude: Mexico in the Corner of an Eye.  Scrimshaw Press, 1975.</p><p>The Crossing of Crows.  Berkeley; Saguaro, 1977.</p><p>The Iceman Inheritance. Toronto; Dorset Publishing Co., 1978.</p><p>The Mantouche Factor. Toronto; Dorset Publishing Co., 1979.</p>
<p>Imprint; a Novel. New York; Warner Books, 1980.</p><p>The Black Discovery of America. Toronto; Personal Library, 1981.</p><p>Crisis of Clarity; the New Democratic Party and the Quest for the Holy Grail. Toronto; Summerhill Press, 1985.</p><p>More than a Myth.  Hounslow Press, 1989.</p>
<p>The Columbus Conspiracy.  Willowdale, Ont.; Hounslow Press, 1991.</p><p>Chosen People from the Caucasus.  Chicago; Third World Press, 1992.</p>
<p>Grail Knights of North America.  Hounslow Press, 1998.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The Days of Canadian Steam. Willowdale, Ont.; Hounslow Press, 1988.</p>
<p>Holy Grail Across the Atlantic; the Secret History of Canadian Discovery and Exploration. Willowdale, Ont.; Houslow Press, 1988.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRADLEY, VAN ALLEN",,Van Allen Bradley,,1913-1984,Albertville,Marshall,,,,,":</strong> Journalist, book dealer. Born:August 24, 1913, Albertville. Parents:Van A. and Lula (Montgomery) Bradley. Married:Patricia Elaine Thompson, November 5, 1939. Children:Three. Married:Sharon Luedke, December 3, 1966. Children:One. Education:Harding College, 1930-1932; University of Missouri, B.J., 1933. Worked for the Nashville Tennessean (1934-35), Omaha Bee-News (1935-37), Chicago Herald Examiner, Chicago Sun and the Chicago Daily News (where he was literary editor), 1948-71.  President of Heritage Bookshop, Inc. in Chicago, 1964-1972; president of Van Allen Bradley, Inc., 1972-1984. Wrote a syndicated column, ""Gold in Your Attic,"" about rare books.  Received the Chicago Foundation for Literature Award for ""exceptional service to literature"" in 1956.  Died December 25, 1984.</p>
<p>",":</strong> Who's Who in America, 1980; obituary.</p>
<p>","(s):</strong></p>
<p>Music for the Millions. Chicago; Institute of Business History, 1957.</p><p>Gold in Your Attic. New York; Fleet, 1958.</p>
<p>More Gold in Your Attic. New York; Fleet, 1961.</p><p>The New Gold in Your Attic. New York; Fleet, 1968.</p><p>The Book Collector's Handbook of Values. New York; Putnam, 1972.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRAGG, RICK",https://auburn.app.box.com/file/905741860301,Rick Bragg,,1959-present,"Piedmont, Jacksonville, Birmingham, and Anniston",Calhoun and Jefferson,"Jacksonville, Calhoun",,Anniston and Birmingham,,";</strong></p>
<p>Writer; journalist; university professor. Born:July , 1959, Piedmont. Parents:Charles and Margaret Marie Bundrum Bragg. Married:Lisa Creel; Married:Diane Wells, 2005. Education:Jacksonville State University; Harvard University (Neiman Fellow), 1992. Reporter for the Anniston Star, 1980-86; Birmingham News, 1986-89; St. Petersburg Times, 1989-94; New York Times, 1994-2003. Professor of journalism, University of Alabama College of Communications, 2005-. Winner of some fifty awards for writing, including the Pulitzer Prize for Feature Writing, 1996; American Society of Newspaper Editors Distinguished Writing Award; Harper Lee Award for Alabama Writer of the Year, 2009. Alabama Library Association Author of the Year for Non-Fiction, 1998.</p>
<p>",":</strong></p>
<p>Owen's Dictionary of Alabama Biography, Vol. III.</p>
<p>","s;</strong></p>
<p>All over but the Shouting.  New York, Pantheon, 1997.</p>
<p>Prince of Frogtown.  New York: Knopf, 2001.Redbirds:  Memories from the South. London: Harville Press, 1998.</p>
<p><strong> Joint_Publications</strong>:</p>
<p>Wooden Churches. Chapel Hill, NC:  Algonquin Press, 1999.</p>

				</div>","<p>Somebody Told Me:  The Newspaper Stories of Rick Bragg.  University of Alabama Press, 2000.</p><p>Ava's Man. New York: Knopf, 2001.</p>
<p>I Am a Soldier Too:  The Jessica Lynch Story. New York: Knopf, 2003.</p>
<p>Most They Ever Had. MacAdamCage, 2009.</p>
<p>My Southern Journey: True Stories from the Heart of the South.  Oxmoor, 2015.</p><p><strong> Joint_Publications</strong>:</p> <p>Jerry Lee Lewis: His Own Story.  HarperCollins, 2014.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRAGG, SHIRLEY",,Shirley Bragg,,1853-1908,Lowndesboro and Montgomery,Lowndes and Montgomery,,,Lowndesboro and Montgomery,,":</strong></p>
<p>Physician. Born:November 3, 1853, near Lowndesboro. Parents:John and Mary Frances (Hall) Bragg. Married:Isabella Norvelle Murray, February 7, 1878. Children:One. Education:Spring Hill College; St. Louis University, A.B., 1872; Alabama Medical College, M.D., 1875. Adjunct professor of surgery at Atlanta Medical College, 1875; practiced medicine in Lowndes County, 1876-1896; and in Montgomery after 1896. Health officer in both Lowndes and Montgomery Counties. Appointed physician inspector of the Convict Board, 1901, elected president of the Board, 1905; named state prison inspector, 1907. Died October 29, 1908.</p>
<p>",":</strong></p>
<p>Owen's Dictionary of Alabama Biography, Vol. III.</p>
<p>","(s):</strong></p>
<p>Child Labor Law, Alabama 1908. Montgomery, Ala.; State of Alabama, 1908.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANDON, MICHAEL",,Michael Brandon,,unknown,Birmingham,Jefferson,,,,,":</strong></p>
<p>Metallurgist.  Born:Birmingham.</p>
<p>",":</strong></p>
<p>Files at Birmingham Public Library and at Alabama Department of Archives and History.</p>
<p>","(s):</strong></p>
<p>Nonce, a Novel. New York; Coward, 1944.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANNON, PETER ALEXANDER",,Peter Alexander Brannon,,1882-1967,"Seale, Montgomery, and Auburn","Russell, Montgomery, and Lee","Auburn, Lee",,Montgomery,,":</strong></p>
<p>Historian; archivist; pharmacist. Born:August 30, 1882, Seale. Parents:George Thomas and Stephie (Greene) Brannon. Married:Frances Frazer, October 5, 1904. Children:Three. Education:Alabama Polytechnic Institute, Ph.G., 1900. Worked as a pharmacist chemist, 1900-1910; spent the remainder of his career with the Alabama Department of Archives and History, serving as curator, 1910-1941; archivist, 1941-1955, and as director, 1955-1967. Wrote many books and articles on Alabama history. Led the state's commemoration of the Civil War Centennial, 1961-65; helped create the Alabama Historical Commission. Editor of the Alabama Historical Quarterly.  Member of the Commission on State Archaelogical Surveys, Alabama Confederate History Society, American and Alabama Anthropological Societies, Alabama Library Association, Alabama Academy of Science, Sons of the American Revolution, Sons of Confederate Veterans, Montgomery Glass Collectors. Died January 5, 1967.</p>
<p>",":</strong></p>
<p>Marquis Who's Who online.</p>
<p>","(s):</strong></p>
<p>Aboriginal Remains in the Middle Chattahoochee Valley of Alabama and Georgia. Lancaster, Pa.; New Era Publishing, 1909.</p><p>Secret Medicine Societies of the Seneca. Lancaster, Pa., 1909.</p><p>Handbook of the Alabama Anthropological Society, 1920. Montgomery, Ala.; Brown Printing Co., 1920.</p><p>The Pageant Book, Official Program of the Ceremonies and the Pageant in Celebration of Alabama Home Coming Week, May 5-6, WPWPC. Montgomery, Ala.; s.n., 1926.</p><p>Engineers of Yesteryear. Montgomery, Ala. ; Paragon Press, 1928.</p><p>A Travel Log, One of a Series of Historical Stories of Trips Through Alabama. Montgomery, Ala.; Paragon Press, 1928.</p><p>Highway Boats and Bridges. Montgomery, Ala.; Paragon Press, 1929.</p>
<p>Fourteen Adams Avenue; a Story of Two Houses. Montgomery, Ala., 1929.</p><p>By-paths in Alabama and Some Houses by the Side of the Road. Montgomery, Ala.; Paragon Press, 1929.</p><p>Historic Highways in Alabama .... Montgomery, Ala.; Paragon Press, 1929.</p>
<p>Adventures on the Highroad, Here and There in Alabama. Montgomery, Ala.; Paragon, 1930.</p><p>Lilies, Lions and Bag-pipes; Tales of Other Days in Alabama. Montgomery, Ala.; Paragon Press, 1930.</p>
<p>A Little Black Volume; the Story of Curiosity's Reward. Montgomery, Ala.; Paragon Press, 1930.</p>
<p>Mile Stones Along Alabama's Pathway. Montgomery, Ala.; Paragon Press, 1931.</p><p>Turning the Pages in Alabama. Montgomery, Ala.; Paragon Press, 1932.</p><p>The Southern Indian Trade; Being Particularly a Study of Material from the Tallapoosa River Valley in Alabama. Montgomery, Ala.; Paragon Press, 1935.</p><p>Old Volumes. Montgomery, Ala.; s.n., 1937.</p>
<p>Montgomery Glass Collectors Third Exhibition, May 8-16, 1938. Montgomery, Ala.; Montgomery Museum of Fine Arts, 1938.</p><p>Romance of Beginnings of Some Alabama Industries; an American Pilgrimage Address. Birmingham, Ala.; Birmingham Publishing Co., 1939.</p><p>Edward Harris, Friend of Audubon. New York; Newcomen Society, 1947.</p><p>Indians in Alabama. Montgomery, Ala.; Alabama State Department of Archives, 1950.</p><p>The Montgomery True Blues Scrap Book; Rebuilt June 28th, 1938. S.l.; s.n., 1955.</p><p>The Organization of the Confederate Post Office Department at Montgomery and a Story of Thomas Welsh Provisional Stamped Envelope. Montgomery, Ala.; s.n., 1960.</p><p>Some Old Alabama Books I Have Known. Montgomery, Ala., 1963.</p><p>The Years of the Alabama Historical Society. Montgomery, Ala.; Walker Press, 1964.</p><p>Vilula and Something of the Brannons from There. Montgomery, Ala.; Walker Printing Co., 1966.</p><p>My Memories of John Witherspoon DuBose. Montgomery, Ala.; Walker Printing Co., 1966.</p>
<p>Alabama Trade Bead Checklist. Lancaster, Pa.; G. B. Festermaker, 1974.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Arrow Points; a Monthly Bulletin of the Alabama Anthropological Society. Montgomery, Ala.; Alabama Anthropological Society, 1920-</p>
<p>MONGLACO; Bulletin of Montgomery Glass Collectors. Montgomery, Ala.; Montgomery Glass Collectors, 1934.</p>
<p>Montgomery Glass Collectors Monthly Bulletin. Montgomery, Ala.; Montgomery Glass Collectors, 193?-.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANSCOMB, BENNETT HARVIE",,Bennett Harvie Branscomb,,1894-1998,Huntsville and Birmingham,Madison and Jefferson,"Birmingham, Jefferson",,,,":</strong></p>
<p>Theologian; University professor, administrator, librarian. Born:December 25, 1894, Huntsville. Parents:Lewis Capers and Nancy (McAdory) Branscomb. Married:Margaret Vaughan, June 15, 1921. Children:Three. Education:Birmingham Southern College, A.B., 1913, Oxford University, Rhodes Scholar, 1914-1917; Columbia University, B.A., M.A., Ph.D., 1924. Served on the Commission for Relief of Belgium, 1914-15; served briefly in the U.S. Army, WWI.  Taught at Southern Methodist, 1919-1925; at Duke University, 1925-46, serving as director of the libraries, chairman of the division of ancient languages and literature, and dean of the divinity school; fourth chancellor of  Vanderbilt University, 1946-1967. Subsequently served as consultant to the International Bank for Reconstruction and Development and to the Bureau of Educational and Cultural Affairs. Served on several United States and UNESCO councils and commissions. Member American Library Association; Society of Biblical Literature and Exegesis; American Council on Education. Honors; Medaille du Roi Albert and Medaille de la Reine from the government of Belgium;  Order of the Southern Cross, Brazil (for his work in reorganizing the national library of Brazil as chair of an ALA commission).  Awarded honorary degrees from Birmingham Southern College, Southwest College, Hebrew Union College, Northwestern University, Brandeis University, and Southern Methodist University. Awarded the status of Chancellor Emeritus on his retirement from Vanderbilt in 1967. Died July 23, 1998.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1974; Marquis Who's Who online; obituary.</p>
<p>","(s):</strong></p>
<p>The Message of Jesus; .... New York; Abingdon Press, 1926.</p><p>The Teachings of Jesus. Nashville; Cokesbury Press, 1931.</p><p>Teaching With Books; a Study of College Libraries. Chicago; Association of American Colleges and American Library Association, 1940.</p><p>How Should We Develop the Kenyon Libraries? S.l.; s.n., 1942.</p><p>Vanderbilt University; the Commodore's Best Investment. New York; Newcomen Society in North America, 1950.</p><p>The Contribution of Moral and Spiritual Ideas to the Making of the American Way of Life .... Madison, Wisc., 1952.</p><p>The Competent College Student; .... Nashville; Tennessee Higher Education Commission, 1977.</p>
<p>Purely Academic; an Autobiography. Nashville; Vanderbilt University, 1978.</p><p>The Gospel of Mark. New York; Harper, 1937?.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANTLEY, MARY E.",,Mary E. Brantley,,1906-1982,"Burnt Corn, Montevallo, Tuscaloosa, Birmingham, and Atmone","Monroe,Shelby, Jefferson, Tuscaloosa, and Escambia","Montvallo, Shelby",,Birmingham and Atmone,,":</strong></p>
<p>Teacher; historian. Born:May 4, 1906, Burnt Corn. Parents:Henry H. and Eugenia (Betts) Brantley. Education:Alabama College (Montevallo), A.B, 1930; graduate work at the University of Alabama. Taught in the Birmingham City Schools, 1930-1945; Atmore City Schools, 1945-1972. Died December 1982.</p>
<p>",":</strong></p>
<p>Who's Who in Alabama, 1972 and the jacket to Early Settlers Along the Old Federal Road in Monroe and Conecuh Counties.</p>
<p>","(s):</strong></p>
<p>Early Settlers Along the Old Federal Road in Monroe and Conecuh Counties, Alabama. Baltimore; Gateway Press, 1976.</p><p>From Cabins to Mansions. Huntsville, Ala.; Strode, 1981.</p>

				</div>",,"<p>(Booklet) ""Poetry for the First Grade.""</p>
<p>(Booklet) ""Recollections and Reflections of Childhood.""</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANTLEY, WILLIAM HENDERSON, JR.",,William Henderson Brantley Jr.,,1898-1964,Tuscaloosa and Birmingham,Tuscaloosa and Jefferson,"Tuscaloosa, Tuscaloosa",,Birmingham    ,,":</strong></p>
<p>Attorney. Born:September 17, 1898, Pike County. Parents:William High and Mary (Henderson) Brantley. Married:Evelyn Ann Hassinger, June 23, 1924. Children:Three. Education:University of Alabama; Harvard University Law School. Employed as a lawyer in Birmingham with avocation of amateur historian. Long-time trustee of Samford University. Died June 19, 1964.</p>
<p>",":</strong></p>
<p>James I. J. Brantley's Dear Grandchildren and Three Capitals (1976 reprint)</p>
<p>","(s):</strong></p>
<p>Chief Justice Stone of Alabama. Birmingham, Ala.; Birmingham Publishing Co., 1943.</p>
<p>Three Capitals; a Book About the First Three Capitals of Alabama. S.l.; Privately printed, 1947.</p><p>Banking in Alabama, 1816-1860. Birmingham, Ala.; Author, 1961-1967.</p>
<p>The Battle of Horseshoe Bend in Tallapoosa, County, Alabama, March 27, 1814. Birmingham, Ala.; Southern University Press, 1969.</p>


				</div>",,"<p><strong>Papers;</strong></p>
<p>Papers of William H Brantley are held by the Samford University Law Library.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANYON, EDGAR WATTERSON",,Edgar Watterson Branyon,,1890-1982,"Kennedy, Florance, Albertville, Hamilton, Tuscaloosa, and Auburn","Lamar, Lauderdale, Marshall, Marion, Fayette, Walker, Lee, Tuscaloosa","Florance, Lauderdale; Tuscaloosa, Tuscaloosa; Auburn, Lee",,Albertville and Hamilton,,":</strong></p>
<p>Teacher, school superintendent. Born:September 28, 1890, Kennedy. Parents:John S. and Alpha (Smith) Branyon. Married:Nell Emily Walker, 1919. Children:Two. Education:Florence State College, two years; Peabody College, B.S., 1916; M.S., 1919; further graduate work at the University of Alabama, Cornell University, and Auburn University. Taught at rural schools in Fayette County, Walker County High School, Albertville High School, Hamilton High School, and at schools in Memphis, Tenn. and Jackson, Miss. Superintendent of Education for Marion County, 1940-1959; chairman of the Marion County Democratic Party and a member of the Alabama and National Education Associations.  Died May 6, 1982.</p>
<p>",":</strong></p>
<p>Who's Who in American Politics, 1975 and  Alabama's Distinguished.</p>
<p>","(s):</strong></p>
<p>Fifty Years in Educational Work; 1960 History of Hamilton High School. S.l.; s.n., 1954.</p><p>People are Funny. S.l.; s.n., 1956.</p>
<p>History of Marion County, Alabama. S.l.; s.n., 1960.</p>
<p>History of My Life. S.l.; s.n., 1965.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRASHER, NELL HUGHEY",,Nell Hughey Brasher,,1912-1992,Birmingham,Perry and Jefferson,"Birmingham, Jefferson",,Birmingham,,":</strong></p>
<p>Writer; homemaker; nurse. Born:December 1, 1912, Perry County. Parents:Monte Zuma and Dovie (Stone) Hughey. Married:Leonard Brasher, April 19, 1938. Children:Four. Education:Attended high school in Perry County and the University of Alabama at Birmingham. Trained as a licensed practical nurse. Wrote a column in the Birmingham Post-Herald called ""Page From a Diary,"" 1966-1974; contributed to Teen With a Future and to Alabama Prize Short Stories, 1970. Member National League of American Penwomen and Quill Club of Birmingham.  Died January 1992.</p>
<p>",":</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>Queenstown Chronicles: Autobiography.  N.Brasher, 1959.</p><p>Heart Streams. Birmingham, Ala.; Thomas Hendricks Associates, 1966.</p><p>Angel Tracks in the Cabbage Patch. New York; William Frederick Press, 1972.</p>
<p>Daddy Poured the Coffee. Gretna, La.; Pelican, 1978.</p>
<p>You've Got to be Kidding! Trussville, Ala.; N. Brasher, 1981.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRASHER, PHELAN BRIGHT",,Phelan Bright Brasher,,1900-1994,Mobile  ,Mobile,,,Mobile,,":</strong></p>
<p>Teacher, salesman. Born:March 23, 1900, Decaturville, Tenn. Parents:George Walter and Arbia Ann Brasher. Married:Eleanor Buck. Children:Three. Education:Union University in Jackson, Tenn.; graduate work at Peabody College. Employed as a chemist for Dupont Engineering Company and the Mobile County (Alabama) Citrus Fruit Growers. Taught chemistry in high schools in Columbus, Miss. and in Mobile; salesman for a school scientific equipment company for six years; state sales representative for McGraw-Hill Publishing Company for thirty-one years. Helped organize the United Cerebral Palsy Association. Died April 26, 1994.</p>
<p>",":</strong></p>
<p>Shadows and Sunshine ....; Obituary, Birmingham News, April 26, 1994.</p>
<p>","(s):</strong></p>
<p>Shadows and Sunshine With Cerebral Palsy. Birmingham, Ala.; Title Books, 1982.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRATCHER, ALFRED LEWIS",,Alfred Lewis Bratcher,,1905-1990,"Demopolis, Montgomery, and Birmingham","Marengo, Montgomery, and Jefferson",,,Birmingham and Montgomery,,":</strong></p>
<p>Clergyman. Born:December 9, 1905, Texas. Parents: George and Frances Bratcher. Married:Eva Howard. Education:Tennessee State University; American Baptist Theological Seminary in Nashville; studied at Morehouse College; Gammon Theological Seminary in Atlanta; and Virginia Union University in Richmond, Va.  Served as minister of the Morning Star Baptist Church in Demopolis, the First Baptist Church, Montgomery, and Canaan Missionary Baptist Church in Birmingham. Served as treasurer-manager of the BBM Federal Credit Union and on the advisory board of Citizens Federal Savings and Loan Association in Birmingham. Honorary degrees:   Selma University, D.D.; Baptist Bible College in Birmingham, LL.D. Died February 3, 1990.</p>
<p>",":</strong> Alfred L. Bratcher, Birmingham, Ala..</p>
<p>","(s):</strong> Eighty-Three Years. Montgomery, Ala.; Paragon Press, 1950.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRAUND, KATHRYN HOLLAND",,Kathryn Holland Braund,,1955-present,Auburn,Lee,"Auburn, Lee",,Auburn,,": </strong></p>
<p>Historian; university professor of history.  Education; Auburn University, M.A., 1980; Florida State University, Ph. D., 1986.  Hollifield Professor of history, Auburn University.  Author of many articles in professional journals.  Member Friends of Horseshoe Bend; Alabama Historical Association; Bartram Trail Conference.</p>
<p>",":</strong></p>
<p>Auburn University website.</p>
<p>",#Null,"s:</strong></p>
<p>Deerskins and Duffels: The Creek Indian Trade with Anglo-America, 1685-1815. Rev. ed. University of Nebraska Press, 2008.</p>


				</div>","<p><strong>Editor;</strong></p>
<p>Adair, James.  History of the American Indians. University of Alabama Press, 2005.</p>
<p>Romans, Bernard. A Concise Natural History of East and West Florida. University of Alabama Press, 1999.</p>
<p>Tohopeka: Rethinking the Creek War and the War of 1812.  University of Alabama Press, 2012.</p>
<p><strong>Joint_Editor:</strong></p>
<p>Fields of Vision; Essays on the Travels of William Bartram. University of Alabama Press, 2010.</p>
<p>William Bartram on the Southeastern Indians. University of Alabama Press, 1995.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRAUNE, ANNA PARKER",,Anna Parker Braune,,1908-1988,Fairhope and Mobile,Baldwin and Mobile,,,Fairhope and Mobile,,":</strong></p>
<p>Illustrator, librarian. Born:Albany, N.Y., August 5, 1908. Parents:Gustave M. and Mary Ida Braune.  Spent her childhood in Cincinnati, Ohio; Chapel Hill, N.C.; and Fairhope, Ala. Studied at the Art Academy of Cincinnati, the New York School of Fine and Applied Arts, and at a school in Monton, France. Worked as a librarian at Fairhope and in the personnel division of a large corporation in Mobile. Died November 26, 1988.</p>
<p>",":</strong></p>
<p>Files at Birmingham Public Library and Alabama Department of Archives and History; ancestry.com</p>
<p>","(s):</strong></p>
<p>Honey Chile. Garden City, N.Y.; Doubleday, 1937.</p>
<p>Wonderful Toys. New York; Harper and Row, 1990.</p>


				</div>",,"<p><strong>Illustrator:</strong></p>
<p>The Bojabi Tree. 1956 edition. Garden City, N.Y.; Doubleday, 1956.</p>
<p>Timothy's Tunes. Boston; Boston Music Co., 1943.</p>
<p>Up Creek and Down Creek. New York; Random House, 1936.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRAY, LIBBA",,Libba Bray,,1964-present,Montgomery,Montgomery   ,,,,,";</strong></p>
<p>Novelist.  Born March 11, 1964, Montgomery. Married Barry Goldblatt.  Children: one.  Education:University of Texas at Austin, B.A. in Theatre, 1988.  Worked for Penguin Putnam and Spier in New York for several years.  Awarded the Michael Printz Prize for literary excellence in young people's literature; finalist for L.A. Times Book Prize.</p>
<p>","s;</strong></p>
<p>Contemporary Authors online; Libba Bray website.</p>
<p>",#Null,"s;</strong></p>
<p>A Great and Terrible Beauty. New York:  Delacorte, 2003.</p><p>Rebel Angels.  New York: Delacorte, 2005.</p>
<p>The Sweet Far Thing. New York:  Delacorte, 2007.</p>
<p>Vacations from Hell.  New York:  HarperTeen, 2009.</p><p>Going Bovine. New York:  Delacorte Press, 2009.</p><p>Beauty Queens. NY: Scholastic Press, 2011.</p>
<p>Diviners.  NY: Little, Brown, 2012.</p>
<p>Lair of Dreams.  New York:  Little, Brown, 2015.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
